406202;"Census Tract 4062.02, Alameda County, California";4487;392183;37.7819786;-122.2265557;11441
406300;"Census Tract 4063, Los Angeles County, California";5527;485716;37.789288;-122.2250127;11379
406400;"Census Tract 4064, Alameda County, California";1831;487978;37.796806;-122.2217201;3752
406500;"Census Tract 4065, Los Angeles County, California";6659;745017;37.7880811;-122.2169865;8938
406601;"Census Tract 4066.01, Los Angeles County, California";5236;747403;37.7936093;-122.2079606;7006
406602;"Census Tract 4066.02, Los Angeles County, California";4963;414724;37.7964782;-122.2143072;11967
406700;"Census Tract 4067, Alameda County, California";5008;1683727;37.8033164;-122.2022249;2974
406800;"Census Tract 4068, Los Angeles County, California";4817;912527;37.7978944;-122.1949575;5279
406900;"Census Tract 4069, Alameda County, California";3711;873127;37.7932754;-122.1903789;4250
407000;"Census Tract 4070, Alameda County, California";5733;862936;37.7879458;-122.2024901;6644
407101;"Census Tract 4071.01, Los Angeles County, California";4834;370826;37.7831286;-122.2143965;13036
407102;"Census Tract 4071.02, Los Angeles County, California";5423;660863;37.7807761;-122.2102385;8206
407200;"Census Tract 4072, Los Angeles County, California";7303;715071;37.7777848;-122.2192819;10213
407300;"Census Tract 4073, Alameda County, California";2594;2370917;37.7621786;-122.2109235;1094
407400;"Census Tract 4074, Los Angeles County, California";2119;511491;37.7710407;-122.2067479;4143
407500;"Census Tract 4075, Alameda County, California";3868;494502;37.769515;-122.1976093;7822
407600;"Census Tract 4076, Alameda County, California";5974;1022712;37.7775293;-122.2031992;5841
407700;"Census Tract 4077, Alameda County, California";4099;917996;37.7765247;-122.1932008;4465
407800;"Census Tract 4078, Alameda County, California";1737;1234691;37.7817417;-122.1866598;1407
407900;"Census Tract 4079, Los Angeles County, California";6227;1099098;37.7884273;-122.1847831;5666
408000;"Census Tract 4080, Alameda County, California";2320;1955675;37.8029607;-122.1828709;1186
408100;"Census Tract 4081, Alameda County, California";5991;8935566;37.7853987;-122.1572109;670
408200;"Census Tract 4082, Alameda County, California";4054;901765;37.7751005;-122.1755728;4496
408300;"Census Tract 4083, Alameda County, California";4150;1521670;37.7710979;-122.1645167;2727
408400;"Census Tract 4084, Alameda County, California";3321;542659;37.7646056;-122.1709595;6120
408500;"Census Tract 4085, Alameda County, California";4970;831360;37.7604176;-122.1785112;5978
408600;"Census Tract 4086, Alameda County, California";5410;1061441;37.7661975;-122.182303;5097
408700;"Census Tract 4087, Alameda County, California";7187;1131294;37.7688638;-122.1889449;6353
408800;"Census Tract 4088, Los Angeles County, California";3667;1204352;37.7588039;-122.1969422;3045
408900;"Census Tract 4089, Alameda County, California";3287;802406;37.7541816;-122.1887803;4096
409000;"Census Tract 4090, Alameda County, California";3502;16920885;37.7299594;-122.2164979;207
409100;"Census Tract 4091, Alameda County, California";2193;490550;37.7323419;-122.1834828;4470
409200;"Census Tract 4092, Alameda County, California";3148;716798;37.729083;-122.1778389;4392
409300;"Census Tract 4093, Alameda County, California";5155;1076280;37.7378466;-122.1733599;4790
409400;"Census Tract 4094, Alameda County, California";4300;1253616;37.744613;-122.1803623;3430
409500;"Census Tract 4095, Alameda County, California";3103;836611;37.7504463;-122.1837659;3709
409600;"Census Tract 4096, Alameda County, California";5051;747478;37.7532669;-122.1726197;6757
409700;"Census Tract 4097, Alameda County, California";4657;811304;37.7564187;-122.1658929;5740
409800;"Census Tract 4098, Alameda County, California";2748;1790024;37.7603611;-122.1557637;1535
409900;"Census Tract 4099, Alameda County, California";3285;4332544;37.7619727;-122.135825;758
410000;"Census Tract 4100, Alameda County, California";2805;6562267;37.7447566;-122.1332163;427
410100;"Census Tract 4101, Alameda County, California";2397;784437;37.7478641;-122.1535294;3056
410200;"Census Tract 4102, Alameda County, California";3052;585845;37.7453063;-122.1571742;5210
410300;"Census Tract 4103, Alameda County, California";3536;578329;37.7466798;-122.1661407;6114
410400;"Census Tract 4104, Alameda County, California";3782;706611;37.7408161;-122.1621741;5352
410500;"Census Tract 4105, Alameda County, California";2143;724478;37.8100159;-122.2889571;2958
420100;"Census Tract 4201, Alameda County, California";2355;552476;37.8947731;-122.2910214;4263
420200;"Census Tract 4202, Alameda County, California";2893;463184;37.8944657;-122.2974678;6246
420300;"Census Tract 4203, Alameda County, California";4550;1303594;37.8906499;-122.3181164;3490
420400;"Census Tract 4204, Alameda County, California";3085;1108468;37.8862111;-122.3141637;2783
420500;"Census Tract 4205, Alameda County, California";2297;416298;37.8867059;-122.2950048;5518
420600;"Census Tract 4206, Alameda County, California";3274;789457;37.8870334;-122.2870621;4147
421100;"Census Tract 4211, Alameda County, California";1992;745510;37.899434;-122.2661928;2672
421200;"Census Tract 4212, Alameda County, California";3563;1354163;37.8975481;-122.2752271;2631
421300;"Census Tract 4213, Alameda County, California";3844;1106639;37.8911093;-122.2813663;3474
421400;"Census Tract 4214, Alameda County, California";1593;474778;37.8883409;-122.270922;3355
421500;"Census Tract 4215, Alameda County, California";3617;1590678;37.8918549;-122.2591778;2274
421600;"Census Tract 4216, Alameda County, California";3550;1333471;37.8839395;-122.2559781;2662
421700;"Census Tract 4217, Alameda County, California";3150;573822;37.8819398;-122.2701842;5490
421800;"Census Tract 4218, Alameda County, California";2007;528477;37.8802854;-122.2782006;3798
421900;"Census Tract 4219, Alameda County, California";3624;855086;37.8794874;-122.289635;4238
422000;"Census Tract 4220, Alameda County, California";1452;4519621;37.8592091;-122.3016412;321
422100;"Census Tract 4221, Alameda County, California";2685;551943;37.8733067;-122.2965336;4865
422200;"Census Tract 4222, Alameda County, California";3078;675011;37.8728828;-122.2878171;4560
422300;"Census Tract 4223, Alameda County, California";3385;560047;37.8740722;-122.2779152;6044
422400;"Census Tract 4224, Alameda County, California";4190;475570;37.8752396;-122.2695878;8810
422500;"Census Tract 4225, Alameda County, California";2939;460336;37.877313;-122.2603183;6384
422600;"Census Tract 4226, Alameda County, California";35;1699288;37.8737724;-122.254627;21
422700;"Census Tract 4227, Alameda County, California";2937;348098;37.8679235;-122.249491;8437
422800;"Census Tract 4228, Alameda County, California";2934;408571;37.8667875;-122.259979;7181
422900;"Census Tract 4229, Alameda County, California";4050;544282;37.8678899;-122.269247;7441
423000;"Census Tract 4230, Alameda County, California";4256;730083;37.8668441;-122.2771352;5829
423100;"Census Tract 4231, Alameda County, California";3791;748653;37.865807;-122.2863197;5064
423200;"Census Tract 4232, Alameda County, California";2709;456778;37.8645164;-122.2936857;5931
423300;"Census Tract 4233, Alameda County, California";3647;726625;37.8573281;-122.2842016;5019
423400;"Census Tract 4234, Alameda County, California";4563;755442;37.8583735;-122.275884;6040
423500;"Census Tract 4235, Alameda County, California";2899;635744;37.8593612;-122.268048;4560
423601;"Census Tract 4236.01, Alameda County, California";2591;523436;37.8588898;-122.258719;4950
423602;"Census Tract 4236.02, Alameda County, California";5571;404545;37.8631828;-122.2592684;13771
423700;"Census Tract 4237, Alameda County, California";3006;728690;37.8618284;-122.2490093;4125
423800;"Census Tract 4238, Alameda County, California";2925;1072457;37.8547521;-122.2440171;2727
423901;"Census Tract 4239.01, Alameda County, California";1903;395619;37.8522414;-122.2675674;4810
423902;"Census Tract 4239.02, Alameda County, California";1508;309218;37.8547568;-122.2573859;4877
424001;"Census Tract 4240.01, Alameda County, California";3570;507530;37.8503694;-122.2746228;7034
424002;"Census Tract 4240.02, Alameda County, California";2167;327223;37.850477;-122.2815375;6622
425101;"Census Tract 4251.01, Alameda County, California";1596;590870;37.8382532;-122.3054128;2701
425102;"Census Tract 4251.02, Alameda County, California";2807;735197;37.8398713;-122.2946336;3818
425103;"Census Tract 4251.03, Alameda County, California";2500;874799;37.8425488;-122.2898095;2858
425104;"Census Tract 4251.04, Alameda County, California";3104;1087239;37.8326584;-122.2833245;2855
426100;"Census Tract 4261, Alameda County, California";5919;3043745;37.8216144;-122.2252874;1945
426200;"Census Tract 4262, Alameda County, California";4745;1358212;37.8246262;-122.2406411;3494
427100;"Census Tract 4271, Alameda County, California";3510;1025446;37.764909;-122.2299614;3423
427200;"Census Tract 4272, Alameda County, California";4004;1329667;37.780827;-122.248255;3011
427300;"Census Tract 4273, Alameda County, California";4867;1950569;37.7810489;-122.2662775;2495
427600;"Census Tract 4276, Alameda County, California";4722;582863;37.7778323;-122.2835979;8101
427700;"Census Tract 4277, Alameda County, California";4857;999309;37.7681553;-122.2868948;4860
427800;"Census Tract 4278, Alameda County, California";4640;831152;37.7714922;-122.2690581;5583
427900;"Census Tract 4279, Alameda County, California";4488;825214;37.7698045;-122.2582454;5439
428000;"Census Tract 4280, Alameda County, California";2928;525761;37.7666414;-122.2475404;5569
